scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
100000,F_dinov3s_rand_100000_s0,noun,1067,-0.020243643584378836,0.5090997035097912,0.24063852696390645,1.6539516043302272e-15
100000,F_dinov3s_rand_100000_s1,all,2540,8.216035844752596e-05,0.9966984446256593,0.22465302017801236,2.067427484228654e-30
100000,F_dinov3s_rand_100000_s1,noun,955,0.024816292033254465,0.4439077545287691,0.2727956568320431,9.655884575887122e-18
100000,F_dinov3s_rand_100000_s2,all,2520,0.007906211832269505,0.691648311497792,0.22824092864717976,3.973010500407753e-31
100000,F_dinov3s_rand_100000_s2,noun,960,-0.02185625250411246,0.4990175191053079,0.26316745528026275,1.1756456334511406e-16
100000,F_dinov3s_rand_100000_s3,all,2521,0.0041458430110443666,0.8352154564155605,0.2338405050092095,1.2091707842073966e-32
100000,F_dinov3s_rand_100000_s3,noun,960,0.006913832922466161,0.8306804158450588,0.2733433632958301,6.787394841018721e-18
100000,F_dinov3s_rand_100000_s4,all,2504,0.03629038872736426,0.06947799860482413,0.21902577628425154,1.4463649138895964e-28
100000,F_dinov3s_rand_100000_s4,noun,935,0.06763328359196473,0.03877493643783997,0.26868921410610763,6.563711926849593e-17
100000,F_dinov3s_rand_100000_s5,all,2507,0.012445618687211082,0.5334550629543503,0.22412384224883583,6.703688510862693e-30
100000,F_dinov3s_rand_100000_s5,noun,960,-0.01650884400414713,0.6096246156189256,0.2738796479534536,5.820412532041664e-18
100000,F_dinov3s_rand_100000_s6,all,2567,0.0013139168712726955,0.9469598719331679,0.2217006247512856,6.128745799984334e-30
100000,F_dinov3s_rand_100000_s6,noun,961,-0.02453894750812701,0.4475922318048299,0.27213434667427944,9.219583859723661e-18
100000,F_dinov3s_rand_100000_s7,all,2486,-0.032808929655119445,0.10202074378025486,0.22451313103407922,9.188205913698692e-30
100000,F_dinov3s_rand_100000_s7,noun,949,-0.020451429517317106,0.5293971794417824,0.26966667890696583,2.938469309725014e-17
300000,F_dinov3s_rand_300000_s0,all,4131,0.021206517225454295,0.17301519299989093,0.23208862944864683,1.240660956886029e-51
300000,F_dinov3s_rand_300000_s0,noun,1610,0.04193291552286531,0.09267363222085351,0.2800717377395586,2.203626526165625e-30
300000,F_dinov3s_rand_300000_s1,all,3820,0.06842243939541559,2.316742408285838e-05,0.24962325805789215,2.430243478842065e-55
300000,F_dinov3s_rand_300000_s1,noun,1505,0.04929839784144258,0.055948643828646595,0.2986089588790668,2.365506259200219e-32
300000,F_dinov3s_rand_300000_s2,all,3815,0.029339220977969968,0.07003014363546854,0.24904190336095083,5.160212743487374e-55
300000,F_dinov3s_rand_300000_s2,noun,1486,0.03457282292116052,0.18300349330779803,0.302520265058578,8.395778407507994e-33
300000,F_dinov3s_rand_300000_s3,all,3833,0.027791533354896647,0.08540437592396528,0.24344423076992205,8.1645681935459035e-53
300000,F_dinov3s_rand_300000_s3,noun,1476,0.0788966791743265,0.002427435895344861,0.30274493527587076,1.2182354900337722e-32
300000,F_dinov3s_rand_300000_s4,all,3878,0.024639111836824296,0.1250527200822091,0.24731643803406805,4.019368176601776e-55
300000,F_dinov3s_rand_300000_s4,noun,1499,0.043717481967074534,0.09075320803981148,0.2989071246031992,2.707018744777396e-32
1000000,F_dinov3s_rand_1000000_s0,all,5596,0.10573735258294259,2.1986075517496967e-15,0.3086850887651057,8.338342864116676e-124
1000000,F_dinov3s_rand_1000000_s0,noun,2064,0.17345762967216416,2.1232044227481633e-15,0.38931389303291153,1.243535852645027e-75
1000000,F_dinov3s_rand_1000000_s1,all,5460,0.09691134183890386,7.201512419085235e-13,0.31111035117678476,8.124891299471223e-123
1000000,F_dinov3s_rand_1000000_s1,noun,2031,0.14239590173793815,1.1587865186937141e-10,0.3944222257328857,1.5394320477254136e-76
1000000,F_dinov3s_rand_1000000_s2,all,5491,0.10517575573942756,5.590873265435554e-15,0.3105968181697476,4.417780684862158e-123
1000000,F_dinov3s_rand_1000000_s2,noun,2041,0.16445536877805,7.76510342977975e-14,0.38664402377361745,1.0005299241136577e-73
1682259,F_dinov3s_base_s0,all,6144,0.06920006683055445,5.663295475227825e-08,0.32484057934980676,6.18127894019484e-151
1682259,F_dinov3s_base_s0,noun,2244,0.1477527655199387,2.030879621776717e-12,0.41132001674147217,2.6099967939722226e-92
1682259,F_dinov3s_base_s1,all,6144,0.06523823208274873,3.094357427776431e-07,0.32562357730270153,1.0728280343655287e-151
1682259,F_dinov3s_base_s1,noun,2244,0.12322655920019764,4.766557660521292e-09,0.4184867167994461,8.19174785134018e-96
1682259,F_dinov3s_base_s2,all,6144,0.09561055552920357,5.940839319659964e-14,0.32547198062285,1.5064566236319214e-151
1682259,F_dinov3s_base_s2,noun,2244,0.12763313051753955,1.3097140301769862e-09,0.41801582037008034,1.4002009490729688e-95
1682259,F_dinov3s_base_s3,all,6144,0.08233174319945753,1.0291940871346493e-10,0.32272529066662525,6.830383422547532e-149
1682259,F_dinov3s_base_s3,noun,2244,0.14550560389555126,4.383508567635175e-12,0.4160478533237072,1.3036075660996742e-94
1682259,F_dinov3s_base_s4,all,6144,0.05963268526257607,2.9101764930791504e-06,0.32851015712084564,1.611229963406421e-154
1682259,F_dinov3s_base_s4,noun,2244,0.13015181504956805,6.134789811304856e-10,0.41975723196304415,1.9202983922437916e-96
