family,seed,category,n,within,between,gap,null_mean,null_sd,null_lo,null_hi,p_perm,n_perm
F_dinov3b_base,1,places,5,0.02716381475329399,0.017104290425777435,0.010059524327516556,0.00025212179007939997,0.017308179202499257,-0.03173882747069001,0.0373721893876791,0.2666,5000
F_dinov3b_base,1,ALL,169,0.05634903907775879,0.01007133163511753,0.04627770930528641,-1.2349093705415726e-05,0.001510736503346433,-0.0028187785064801574,0.00305176838301122,0.0,5000
F_dinov3b_base,2,animals,38,0.06246226653456688,0.008837668225169182,0.05362460017204285,3.392934985458851e-05,0.002523298485946606,-0.004441204038448632,0.005458132363855838,0.0,5000
F_dinov3b_base,2,food_drink,29,0.04389829561114311,0.00398688018321991,0.0399114154279232,3.5310913249850274e-05,0.003113394820099898,-0.005617716233246028,0.006534476787783203,0.0,5000
F_dinov3b_base,2,vehicles,11,0.08419978618621826,0.00888324435800314,0.07531654089689255,1.2408716510981322e-05,0.0075337363101268045,-0.013668155088089407,0.01569962678477167,0.0,5000
F_dinov3b_base,2,toys,10,0.02223282866179943,0.01207952480763197,0.010153303854167461,-0.0001144605265930295,0.008088951800975061,-0.014526533684693277,0.017050406243652103,0.1066,5000
F_dinov3b_base,2,clothing,17,0.06817115098237991,0.011697812005877495,0.05647333711385727,-0.00013402456603944302,0.004969016968168529,-0.009229507087729872,0.010815741564147162,0.0,5000
F_dinov3b_base,2,body_parts,7,0.0970248281955719,0.004443774465471506,0.09258105605840683,7.978619574569165e-05,0.012177093001345668,-0.02228219648823142,0.025681170914322128,0.0,5000
F_dinov3b_base,2,household,21,0.027891648933291435,0.009718083776533604,0.018173564225435257,-2.673434317111969e-05,0.004058562323811794,-0.0074192140367813405,0.008456595800817007,0.0002,5000
F_dinov3b_base,2,furniture_rooms,15,0.054791394621133804,0.012743502855300903,0.0420478917658329,2.3013342916965485e-05,0.005607876500157553,-0.01027485856320709,0.011877864273265003,0.0,5000
F_dinov3b_base,2,outside,16,0.04614989086985588,0.008847182616591454,0.037302710115909576,-0.00014395874184556305,0.005233904035328102,-0.009686738532036544,0.010920618684031064,0.0,5000
F_dinov3b_base,2,places,5,0.05054111406207085,0.012173900380730629,0.03836721181869507,0.00015830958387814462,0.016957080720409842,-0.030281785130500793,0.0362843371927738,0.0208,5000
F_dinov3b_base,2,ALL,169,0.05319032818078995,0.008937196806073189,0.04425313323736191,1.7714506015181541e-06,0.00147560536142704,-0.0027186664054170253,0.003036520793102681,0.0,5000
