family,seed,category,n,within,between,gap,null_mean,null_sd,null_lo,null_hi,p_perm,n_perm
F_dinov3l_base,2,food_drink,36,0.04226039722561836,0.00186675856821239,0.0403936393558979,-6.761138262227177e-05,0.0025203297088431916,-0.004752930637914687,0.005217716842889772,0.0,5000
F_dinov3l_base,2,vehicles,11,0.09097044169902802,0.010588699020445347,0.08038174360990524,4.0929698292165994e-05,0.00744490653412024,-0.013740963488817214,0.015471724863164126,0.0,5000
F_dinov3l_base,2,toys,15,0.02755434811115265,0.009289512410759926,0.018264835700392723,2.907663709484041e-05,0.0054250208792996505,-0.009852783428505063,0.0113479470834136,0.0016,5000
F_dinov3l_base,2,clothing,20,0.05707817152142525,0.011317485012114048,0.045760687440633774,6.384391887113451e-05,0.004096707511048608,-0.00747197411255911,0.008496773988008499,0.0,5000
F_dinov3l_base,2,body_parts,14,0.05586479604244232,0.003820274956524372,0.052044522017240524,6.642897613346577e-07,0.0058138557592233055,-0.010681073181331158,0.012014177977107462,0.0,5000
F_dinov3l_base,2,household,31,0.02299913763999939,0.010149377398192883,0.012849760241806507,-4.215278755873442e-06,0.0028400541865972726,-0.005192845140118152,0.005869906907901167,0.0002,5000
F_dinov3l_base,2,furniture_rooms,21,0.0551740936934948,0.012176924385130405,0.042997170239686966,-6.790963001549243e-07,0.004021356596843592,-0.007235550601035356,0.008264699461869857,0.0,5000
F_dinov3l_base,2,outside,20,0.04349694401025772,0.005080207251012325,0.03841673582792282,2.346929544582963e-05,0.004161619986418606,-0.007658422947861254,0.008754612365737545,0.0,5000
F_dinov3l_base,2,places,9,0.015525023452937603,0.006888764910399914,0.00863625854253769,0.0001765633758623153,0.00917169965969581,-0.016617243783548473,0.019983236258849485,0.1748,5000
F_dinov3l_base,2,ALL,215,0.04806764796376228,0.007550346665084362,0.04051730036735535,-1.6339358687400816e-05,0.0011514461966589291,-0.0021623622858896853,0.0023604754591360676,0.0,5000
