"user_id","run_id","dataset","language","score","score_se","age","num_attempted","adaptive"
"FJ0by1B7Us6foNnGkvOk","GtGOl7F4W8L7qQ0iV5sV","pilot_western_ca_main","en-US",0.69,0.46,9.9,42,TRUE
"bcZ0bBxI6DLxwRJSG4Ka","yaih8jZdUuh2ole37gEf","pilot_western_ca_main","en-US",0.84,0.4,8.3,56,TRUE
"PT3KQ6jZJBgjbf24zf97","A0VPHviSLmZcNaPWnqPW","pilot_western_ca_main","en-US",-0.53,0.35,6.4,64,TRUE
"VZTtm2sGvQhNV1b9nYyv","PfxLHPpoPE2FurCSREoP","pilot_western_ca_main","en-US",-2,0.71,6.9,24,TRUE
"fUpYo95ug20usDK8YD0l","KiTpL3uzjzKYFIg3vXPQ","pilot_western_ca_main","en-US",-0.99,0.33,7.4,73,TRUE
"4xRUo7P2V6Y6im7RK0Z3","hKQGZE8tQOmGXUBJfWPw","pilot_western_ca_main","en-US",-0.34,0.38,6.4,55,TRUE
"XBQzGK6JA2CXj5oPVpNB","M4oZ8wv8lzUSZnw77SNS","pilot_western_ca_main","en-US",-0.19,0.62,10.6,25,FALSE
"DZSUhgfnpQvkB5Q8iZnk","hRL1XRrEDZY0wG2cow0C","pilot_western_ca_main","en-US",0.51,0.37,6.2,68,TRUE
"NxYnKUk2KeLDQvTJzY4d","LhAmPCSeHLFVwvkNlMz2","pilot_western_ca_main","en-US",-0.87,0.31,6.5,122,FALSE
"pKF5LV3VODHU35z9NQOQ","pn3eG90OCMI59D06poA4","pilot_western_ca_main","en-US",-1.56,0.33,5.3,75,TRUE
"EASbrW0Hxb0UZdRXF9ca","xcMyGM6Pc1TgM0shLJvK","pilot_western_ca_main","en-US",-1.76,0.38,5.5,55,TRUE
"EjEvpLkWaa0taPlcRVcf","Cpxn2sekGE047yn6Iwd2","pilot_western_ca_main","en-US",0.18,0.47,7.2,40,TRUE
"0wK6qddm0kbH03JTvCYP","gom81P8RzkRDxrCnXpCK","pilot_western_ca_main","en-US",-1.16,0.35,5,57,TRUE
"dA7TZFZyRQMmBIxCjM8w","fh9PEHJHsQClyOV8ebqj","pilot_western_ca_main","en-US",-0.7,0.45,7.7,45,TRUE
"415A9eRgKYEKV83A8f5t","0eLcwN6d8wE7XA9zJ16V","pilot_western_ca_main","en-US",-1.55,0.49,6.6,29,TRUE
"kysw6JeecqwS1wuhTb4s","iMDsHtgZO7vSSB8kUswm","pilot_western_ca_main","en-US",-2.18,0.36,5.8,74,TRUE
"pJJ9pmJqROmE9sSHVeWe","bk1d5rzMBLcmKsIZCXYu","pilot_western_ca_main","en-US",0.39,0.39,7.5,56,TRUE
"ZXtzdjGCJCAsQVAHdEZi","5ntw7mOHSUhX5Y4OqYx8","pilot_western_ca_main","en-US",-1.39,0.36,6.1,58,TRUE
"8bQiywe2GpHxcLKPOt3p","wdFOT9iyCY1SVyYdkTfj","pilot_western_ca_main","en-US",-0.63,0.45,6.7,39,TRUE
"aaBL5ZHYE20IJzqYjCzG","jKo06zGUIw8uf5V4BnfI","pilot_western_ca_main","en-US",1.18,0.39,7.6,56,TRUE
"zKQC5plFG2Tgmq6MSfq2","n3r9XMMSYefY06CsRu8x","pilot_western_ca_main","en-US",-0.34,0.36,6.9,59,TRUE
"ebeN4Q26BtEsBr9Erurp","m4ph1fcrTkEtysuaChRM","pilot_western_ca_main","en-US",0.81,0.39,8.9,54,TRUE
"LQmMTjpV5Y7Dkovl9AQR","VUKvTezHs7tkMKS2oLh1","pilot_western_ca_main","en-US",1.97,0.45,10.7,52,TRUE
"6p0Ljc7ZSXvSYleaU3kx","xMKoInahi6QCFK1Zw5zd","pilot_western_ca_main","en-US",1.44,0.68,8.9,20,TRUE
"XBQzGK6JA2CXj5oPVpNB","jsWPLnke59CPff0vonNw","pilot_western_ca_main","en-US",1.64,0.47,11.6,41,TRUE
"0WEAtT0kQh1ZkrEs8Qj6","a6C9FJioESPQEdhkXFTu","pilot_western_ca_main","en-US",0.97,0.41,9.2,55,TRUE
"oLCjqFwPbfZuQleaFQlB","VIPQzAhzfjCX2E313pdJ","pilot_western_ca_main","en-US",-0.22,0.45,9.7,37,TRUE
"h0b2wBGOyyQYL25P86mJ","hprsnmPZxLIFWWGyB7FI","pilot_western_ca_main","en-US",0.69,0.39,8.7,51,TRUE
"M6QdEzgZGiJlbC8JolmZ","9w0tIsteAi7NJ6rdpuWR","pilot_western_ca_main","en-US",0.92,0.39,13,72,TRUE
"lRjnRwGfWAIk4cPG4OaC","MOMGoFWFse4iDpK1a2y5","pilot_western_ca_main","en-US",1.18,0.45,10.7,48,TRUE
